"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" MYL5 ",-1.73184,9.10967666666667,-21.3854760927059,1.15109484742812e-09,1.62597379448529e-07,12.9196706830422
" ELK1 ",-1.63351,9.464145,-21.3229832257804,1.1845231579464e-09,1.66311332784679e-07,12.8905770328082
" ZNF768 ",-1.45893666666667,9.80339833333333,-21.2965220904485,1.19899765923961e-09,1.67335559544297e-07,12.8782296600239
" FAM111B ",2.39659333333333,8.97170333333333,21.2453717786026,1.2275312065098e-09,1.6944147030466e-07,12.8543137493424
" IMPG1 ",1.70464,7.95442,21.2434336054128,1.22862695677211e-09,1.6944147030466e-07,12.8534062874768
" PRM3 ",1.51719,8.709525,21.2302651989219,1.23610024590597e-09,1.69469343713708e-07,12.8472383620182
" GNG4 ",1.52775666666667,9.732655,21.1773569976839,1.2666337532688e-09,1.72639958406058e-07,12.822414262596
" USP6NL ",-1.46906666666666,11.4688333333333,-21.1506140507656,1.28238157706339e-09,1.73770159398933e-07,12.8098407104843
" RN7SKP245 ",1.80637666666667,10.057745,21.0243181504379,1.35971540447061e-09,1.83145100323389e-07,12.7502239267505
" FAM117A ",1.5377,11.58955,21.0123862759387,1.36728225238211e-09,1.83145100323389e-07,12.7445712731727
" SLC22A20 ",1.86828666666667,8.00870333333333,20.9566365183567,1.40325527874997e-09,1.86061659284005e-07,12.7181134077845
" SLC45A3 ",-1.45073333333333,12.3392333333333,-20.9539387886897,1.40502218363517e-09,1.86061659284005e-07,12.7168311545631
" PSMD6 ",-1.714,8.65856333333333,-20.9217768511101,1.42627621039448e-09,1.8683485985646e-07,12.7015303641171
" LUZP4 ",2.40255333333333,8.11996666666667,20.9208507513064,1.42689342491311e-09,1.8683485985646e-07,12.7010893975612
" GEMIN8P4 ",1.78348666666667,9.04260666666667,20.856088800629,1.47079128372369e-09,1.90786315938833e-07,12.6701995521624
" RAB33A ",-1.96647333333334,11.0772966666667,-20.8418666031067,1.48062889188162e-09,1.90786315938833e-07,12.6634018489368
" SCCPDH ",2.33518666666667,7.59049666666667,20.8286116312781,1.4898625460178e-09,1.90786315938833e-07,12.657061872132
" LOC101927533 ",1.72787,7.23450166666667,20.8115040300576,1.5018736105554e-09,1.90786315938833e-07,12.6488726165251
" CDCA4 ",-2.50847333333333,9.69993,-20.7975179056305,1.51177213572659e-09,1.90786315938833e-07,12.6421721097832
" C8orf59 ",2.29129666666667,8.822455,20.7868077183473,1.51940058909405e-09,1.90786315938833e-07,12.6370377135966
" IL21R ",1.4252,10.9208,20.7839350944879,1.52145383042803e-09,1.90786315938833e-07,12.6356601037276
" MRGPRX3 ",1.80535,7.69050833333333,20.7823923182403,1.52255780514965e-09,1.90786315938833e-07,12.6349201562787
" INSL5 ",1.48747333333334,8.30032,20.7680244705794,1.53288144921013e-09,1.9105276971519e-07,12.6280261528525
" ZNF860 ",3.14967666666667,7.88651166666667,20.7368962710969,1.55551248217548e-09,1.92325409550136e-07,12.6130722675407
" ME2 ",-1.40481666666667,10.094325,-20.7304239741053,1.56026394204191e-09,1.92325409550136e-07,12.6099599161435
" TNXB ",1.80864,10.7703133333333,20.7201382294501,1.56784776309803e-09,1.92325409550136e-07,12.6050115963394
" TMEM140 ",-1.40899333333333,10.3247366666667,-20.6790658797418,1.59853704522882e-09,1.95063366037425e-07,12.5852255089068
" KLK4 ",-1.68355,9.781225,-20.6422660544392,1.62659479845635e-09,1.9574069907361e-07,12.5674611737904
" ELAVL3 ",-1.47773,10.726735,-20.6341393538774,1.63286356864902e-09,1.9574069907361e-07,12.5635335219244
" PCED1A ",-2.201,8.40339,-20.6200634997491,1.64378425635437e-09,1.9574069907361e-07,12.5567266361419
" ERVH-4 ",1.95964333333333,8.39425833333333,20.6199326946637,1.6438861162581e-09,1.9574069907361e-07,12.5566633568644
" RUNX1T1 ",2.62735333333333,7.68025333333333,20.6077405001519,1.65341086347075e-09,1.9574069907361e-07,12.5507632433793
" LY6G6C ",1.51310333333333,7.227305,20.6052872214195,1.65533472029788e-09,1.9574069907361e-07,12.5495755791574
" GBE1 ",1.48672,8.43111,20.5957003657497,1.6628763211299e-09,1.9574069907361e-07,12.5449329780091
" FOXR2 ",2.03651,7.45412833333333,20.5709668364473,1.68250802299024e-09,1.96104750572327e-07,12.5329444468375
" MIR218-2 ",1.44460666666667,8.41627,20.5706051081428,1.68279701868389e-09,1.96104750572327e-07,12.5327689977777
" DIS3L ",-1.93511666666667,9.630075,-20.551729830761,1.69795294561066e-09,1.96886513947003e-07,12.5236092539958
" COPZ1 ",1.53417333333333,7.68333666666667,20.5187259638651,1.72481489354207e-09,1.99011191701906e-07,12.5075711764831
" DDX27 ",-1.54106,10.2184033333333,-20.5027756994185,1.7379638308362e-09,1.99540507415268e-07,12.499810143542
" SPHK1 ",-1.41889666666666,9.58461833333333,-20.3922175795763,1.83218789827129e-09,2.09327467377495e-07,12.4458337938337
" MAN1C1 ",-1.72634,9.22223,-20.3750814812166,1.84728800511333e-09,2.10023129439885e-07,12.4374391770494
" FBXL19-AS1 ",1.56638,8.17500333333333,20.2985569766995,1.91640856072933e-09,2.16823953033584e-07,12.3998575715817
" RNA5SP321 ",-1.81808,9.83726,-20.2143222841037,1.99579369220428e-09,2.24714799923696e-07,12.3583112189803
" RNA5SP363 ",-2.32916,9.02631,-20.152617835337,2.05623614345113e-09,2.30407191324113e-07,12.327757969935
" HIST1H2AH ",-1.65308333333333,7.75449166666667,-19.9751918614149,2.24152280571938e-09,2.49051329968798e-07,12.2393372485774
" RNU6-1339P ",-1.48478666666667,10.1033066666667,-19.972935210866,2.24399447777267e-09,2.49051329968798e-07,12.2382071792759
" SUOX ",1.47796,10.5519866666667,19.9557815863723,2.26288067807513e-09,2.49246292111855e-07,12.2296125994947
" F2RL2 ",1.78693333333333,11.4461666666667,19.9481547644178,2.27133382484358e-09,2.49246292111855e-07,12.2257887263739
